Category,Manufacturer,Description,Package,Location,URL,Price,Quantity,Price 1,Mfg Part Number,Min\Mult Order Qty,Mfg Part Number,Price 1,,Description,,,,Min\Mult Order Qty
,,,,,,,,,,,,,,,,,,
Semiconductors,Atmel,Atmega 328,PDIP-28,Sparkfun,http://www.sparkfun.com/products/9061,$4.30 ,1,$3.42 ,ATMEGA328P-PU,1\1,ATMEGA328P-PU,$3.94 ,,Microcontrollers (MCU) Microcontrollers (MCU) 32KB In-system Flash 20MHz 1.8V-5.5V,,,,1\1
Semiconductors,Microchip,ENC 28J60,DIP,Digikey,"http://search.digikey.com/us/en/products/ENC28J60-I%2FSP/ENC28J60-I%2FSP-ND/1680061"",""Digikey"")",$3.86 ,1,,ENC 28J60,,ENC28J60-I/SP,$3.63 ,,Ethernet ICs Ethernet ICs 8 KB RAM MAC&PHY Ethernet Controller,,,,1\1
Semiconductors,,74HC08 (AND Gate),TSSOP-14,Digikey,"http://search.digikey.com/us/en/products/MM74HC08MTCX/MM74HC08MTCXCT-ND/2053109"",""Digikey"")",$0.49 ,1,,74HC08 (AND Gate),,,,,,,,,
Semiconductors,,GREEN LED,3mm,EBAY,"http://stores.ebay.com/Thai-Shine"",""EBAY"")",$8.00/100,2,,,,,,,,,,,
Semiconductors,,RED LED,5mm,Ebay,"http://www.ebay.com/sch/ledone2013/m.html?_nkw=&_armrs=1&_from=&_ipg=&_trksid=p3686"",""Ebay"")",$2/50,1,,,,,,,,,,,
Semiconductors,,1N4004 Diode,through-hole,Digikey,"http://search.digikey.com/us/en/products/1N4004/1N4004FSCT-ND/1626118"",""Digikey"")",$0.34 ,1,,1N4004,,1N4004,$0.09 ,,Rectifiers Rectifiers Vr/400V Io/1A T/R,,,,1\1
Semiconductors,,78L05 Regulator,through-hole,Digikey,"http://search.digikey.com/us/en/products/MC78L05ACP/MC78L05ACPFS-ND/1049368"",""Digikey"")",$0.45 ,1,,78L05,,MC78L05ACP,$0.18 ,,Linear Regulators - Standard Linear Regulators - Standard Pos Voltage Reg 3Term 0.1a,,,,1\1
Semiconductors,,78L33 Regulator,through-hole,Digikey,"http://search.digikey.com/us/en/products/L78L33ACZ/497-7288-ND/1038304"",""Digikey"")",$0.49 ,1,,78L33,,L78L33ACZ,$0.49 ,,Linear Regulators - Standard Linear Regulators - Standard 3.3V 0.1A Positive,,,,1\1
Semiconductors,,16 Mhz Crystal,through-hole,Digikey,"http://search.digikey.com/us/en/products/ECS-160-20-46X/XC1759-ND/2676589"",""Digikey"")",$0.46 ,1,,,,ECS-160-20-46X,$0.46 ,,Crystals Crystals 16MHz 20pF 50ppm -10C +70C,,,,1\1
Semiconductors,,25 Mhz Crystal,through-hole,Digikey,"http://search.digikey.com/us/en/products/ECS-250-20-46X/XC1764-ND/2676594"",""Digikey"")",$0.46 ,1,,,,CX3225GB25000D0HEQZ1,$1.30 ,,Crystals Crystals 3.2x2.5x0.8 25MHz 8pF +/-20ppm,,,,1\1
,,,,,,,,,,,,,,,,,,
Resistors,,50 ohm,through-hole,,,,4,,,,,,,,,,,
Resistors,,270 ohm,through-hole,,,,5,,,,,,,,,,,
Resistors,,2.7 K ohm,through-hole,,,,2,,,,,,,,,,,
Resistors,,10 K ohm,through-hole,,,,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Capacitors,,18 pF,SMT 0603,Digikey,"http://search.digikey.com/us/en/products/ECS-160-20-46X/XC1759-ND/2676589"",""Digikey"")",$0.36 ,4,,,,,,,,,,,
Capacitors,,0.1 µF,SMT 0603,Digikey,"http://search.digikey.com/us/en/products/0603YC104KAT2A/478-1239-1-ND/564271"",""Digikey"")",$0.28 ,4,,,,,,,,,,,
Capacitors,,10 µF,SMT 1210,Digikey,"http://search.digikey.com/us/en/products/C2012Y5V1A106Z/445-1371-1-ND/567608"",""Digikey"")",$0.96 ,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Hardware,,28 pin socket,,,,,1,,,,,,,,,,,
Hardware,,4 pin dip switch,,,,,1,,,,A6TN-4104,$0.98 ,,"DIP Switches / SIP Switches DIP Switches / SIP Switches Slide Type DIP (Wht) 4Pin, Raised Act.",,,,1\1
Hardware,,RJ45 MAGJACK,,Sparkfun,"http://www.sparkfun.com/products/8534"",""Sparkfun"")",$1.95 ,1,,,,J00-0061NL,$5.48 ,,Ethernet & Telecom Connectors Ethernet & Telecom Connectors 1X1 TAB DOWN 10/100,,,,1\1
Hardware,,10 pin header,,,,,0,,,,,,,,,,,
Hardware,,6 pin header,,,,,0,,,,,,,,,,,
Hardware,,5 pin header,,,,,0,,,,,,,,,,,
Hardware,,2 pin header,,,,,0,,,,,,,,,,,
Hardware,,22 pin header,,,,,1,,,,,,,,,,,
Hardware,,tactile switch,,,,,1,,,,,,,,,,,
Hardware,,Ferrite Bead,,Ebay,Ebay,$2.50 ,1,,,,,,,,,,,
